slug,name,showBooking
blades-barbers,"Blades Barbers",false
blades-barbers-burton-on-trent,"Blades Barbers",false
bladez-barber,"Bladez Barber",false
bladez-barber-shop,"Bladez (Barber Shop)",false
bladez-barber-wigan,"Blade'z Barber",false
bladez-barbers,"Bladez Barbers",false
bladez-mens-barber,"Bladez men’s barber",false
blue-suede-barbers,"Blue Suede Barbers",false
bobbys-barbers,"Bobby's Barbers",false
bodrum-barber-shop,"Bodrum Barber Shop",false
bogaty-barber-best-barbershop,"Bogaty Barber - Best Barbershop",false
boho-barber-co,"Boho Barber Co",false
boldmere-barbers,"Boldmere Barbers",false
boss-barber,"Boss Barber",false
boss-cut,"BOSS CUT",false
boyce-barbers,"Boyce Barbers",false
boys-line,"Boys Line",false
boys2men-traditional-barbers,"Boys2Men Traditional Barbers",false
brazuca-1-gentry-grooming,"Brazuca 1 Gentry Grooming",false
brazuca-5-gentry-grooming,"Brazuca 5 Gentry Grooming",false
brigg-barber,"Brigg barber",false
broadway-barbers,"Broadway Barbers",false
brookfield-cuts,"Brookfield Cuts",false
brooklyn-barber,"Brooklyn Barber",false
brothers-barber-shop,"Brothers barber shop",false
brunos-barbers,"Brunos Barbers",false
bs1-barbershop,"BS1 BarberShop",false
buddys-barber-burton,"Buddy's Barber Burton",false
bull-farm-barber,"Bull farm barber",false
butera-luisa,"Butera Luisa",false
buzz-barbers-shop,"BUZZ BARBERS Shop",false
bx-barber-bromley-cross,"BX Barber Bromley Cross",false
ca1-barber-shop,"CA1 Barber Shop",false
camran-barbers,"Camran Barbers",false
cams-cuts,"Cams Cuts",false
capellos,"Capello's",false
captain-jack-s-barbershop,"Captain Jack's Barbershop",false
castle-barber-shop-lincoln,"Castle Barber Shop Lincoln",false
cavalier-cuts,"Cavalier Cuts",false
chakos-barber,"CHAKO’S BARBER",false
champ-barber,"Champ Barber",false
chaplins-barbers,"Chaplins Barbers",false
chaps-barbers,"CHAPS BARBERS",false
charlie-chops-barbershop,"Charlie Chops Barbershop",false
charlie-parkers-cut-throat-and-coffee,"Charlie Parker’s Cut Throat & Coffee",false
chase-barbers,"Chase Barbers",false
chasetown-barbers,"Chasetown Barbers",false
cheshire-barber,"Cheshire Barber",false
chesters-barber-shop,"Chesters Barber Shop",false
chezzy-barbers,"Chezzy barbers",false
chicos-hair-design,"Chicos Hair Design",false
chop-it-like-its-hot,"CHOP IT LIKE IT’S HOT",false
chop-shop-barbers,"Chop Shop Barbers",false
chop-shop-barbers-dudley,"Chop Shop Barbers",false
chris-barber-shop,"Chris Barber Shop",false
chris-king-barber-shop,"Chris King Barber Shop",false
city-barber,"City barber",false
city-barber-lincoln,"City Barber",false
city-barbers,"city barbers",false
city-cuts,"City Cuts",false
city-cuts-barbers,"City Cuts Barbers",false
citybarbers,"CityBarbers",false
class-cuts-barber,"Class Cuts Barber",false
class-cuts-barbers,"Class Cuts Barbers",false
class-fade,"Class Fade",false
class-style,"Class Style",false
classic-barber,"Classic Barber",false
classic-barber-saint-helens,"Classic Barber",false
classic-barbers,"Classic barbers",false
classic-fades,"Classic Fades",false
clee-fade,"Clee fade",false
clipperz-and-fadez,"Clipperz & Fadez",false
contrast,"Contrast",false
cool-cuts-turkish-barber-shop,"Cool cut's Turkish barber shop",false
cooper-barber,"Cooper barber",false
corby-barber,"Corby Barber",false
covcuts-barbers,"CovCuts Barbers",false
cr7-barber-shop,"CR7 BARBER SHOP",false
